0	it is the county seat of alfalfa county  	it is the county seat of alfalfa county  	there is a county seat of alfalfa county   county   county   united states  
1	cherokee is a city in alfalfa county   oklahoma   united states  	cherokee is a city of oklahoma in the united states  	cherokee is a city in woods county   oklahoma   united states  
2	sight is very important for most lizards   both for locating prey and for communication   and   as such   many lizards have highly acute color vision  	sight is very important for most lizards   both for locating prey and for communication   many lizards have highly acute color vision  	hilo is very important for most lizards   both for locating prey and for communication   which have highly acute color vision  
3	anoxic events may have caused mass extinctions  	anoxic events may have caused mass extinctions  	anoxic events have caused mass extinctions  
4	the nativity of the blessed virgin is kept on september 8  	there are many feast days which honor the virgin mary   such as the nativity of the blessed virgin on 8 september which remembers her birth  	there are many feast days which honor the virgin mary   such as the nativity of the blessed virgin on 8 september which remembers her birth  
5	riluzole is believed to reduce damage to motor neurons by decreasing the release of glutamate via activation of glutamate transporters  	riluzole is believed to make damage smaller to motor neurons by decreasing the release of glutamate   a substance that is found in most als patients  	riluzole is believed to have damage smaller to motor neurons by increasing the release of glutamate   a substance that is found in most als patients  
6	other treatments for als are designed to relieve symptoms and improve the quality of life for patients  	other treatments for als are designed to make symptoms less painful and improve the quality of life for patients  	other treatments for als are designed to make symptoms less painful and improve the quality of life for patients  
7	about 75   of people contracting the disease experience    limb onset    als i e  first symptoms in the arms  lrb     upper limb      not to be confused with    upper motor neuron     rrb  or legs  lrb     lower limb      not to be confused with    lower motor neuron     rrb   	about 75   of people have limb onset als  	about 75   of people have limb onset als  
8	arm onset patients may experience difficulty with tasks requiring manual dexterity such as buttoning a shirt   writing   or turning a key in a lock  	other limb onset patients first see the effects of the disease on a hand or arm as they have a difficult time with simple tasks requiring hand dexterity   or ability to move small things   such as buttoning a shirt   writing   or turning a key in a lock  	other limb onset patients first see the effects of the disease on a hand or arm as they have a difficult time with simple tasks requiring hand dexterity   or ability to move small things   such as buttoning a shirt   writing   or turning a key in a lock  
9	duvalier held haiti in his grip until his death in early 1971   his 19 year old son jean claude duvalier   nicknamed    baby doc      succeeded as president  	his wife was simone duvalier   and his son   jean claude duvalier succeeded him as president  	his wife was simone duvalier   and his son   jean claude duvalier succeeded him as president  
10	fran ois duvalier  lrb  april 14   1907   april 21   1971  rrb  was the president of haiti from 1957 until his death in 1971  	fran ois duvalier  lrb  14 april 1907   21 april 1971  rrb    known as    papa doc      was the president  lrb  dictator  rrb  and head of state of haiti from 1957 until his death  	fran ois duvalier  lrb  14 april 1907     21 april 1971  rrb  was president of haiti from 1957 until his death  
11	in his a new history of the double bass   paul brun asserts   with many references   that the double bass has origins as the true bass of the violin family  	double bass players in jazz bands or rock bands often connect their double bass to an electronic amplifier and a loudspeaker   to make a louder   stronger sound   this makes it easier for the double bass player   the other musicians   and the audience to hear the double bass  s musical notes  	double bass players or rock bands or rock bands often connect their double bass to an electronic amplifier and a loudspeaker   to make a louder than double bass  
12	henry iii was unable to be crowned in london when he first came to the throne because the french prince louis had taken control of the city   and so the king was crowned in gloucester cathedral  	henry iii was unable to be crowned in london when he first came to the throne because the french prince louis  lrb  later louis viii  rrb  had taken control of the city  	henry iii was unable to be crowned in london when he first came to the throne because the french prince louis  lrb  later louis viii  rrb  had taken control of the city  
13	this system is particularly useful for basslines that have a repeating pedal point such as a low d   because once the note is locked in place with the mechanical    finger      the lowest string then sounds a different note when it is played    open     lrb  e g    a low d  rrb   	this system is particularly useful for basslines that have a repeating pedal point such as a low d   because once the note is locked in place with the mechanical    finger      the lowest string then sounds a different note when it is played    open     lrb  e g    a low d  rrb   	this system is particularly useful for basslines that have a repeating pedal point such as a low d   because once the note is locked in place with the mechanical    finger      the lowest string then sounds a different note when it is played    open     lrb  e g    a low d  rrb   
14	in the united states   canada and united kingdom   most professional orchestral players use four string double basses with a    c extension      which extends the lowest string down as far as low c   an octave below the lowest note on the cello  lrb  more rarely   this string may be tuned to a low b  rrb   	in the united states   canada and united kingdom   most professional orchestral players use four string double basses with a    c extension      which extends the lowest string down as far as low c   an octave below the lowest note on the cello  	in the united states   canada and united kingdom   most professional orchestral players use four string double bathysphere with a    c extension      which extends the lowest string down as far as low c   an octave below the lowest note on the cello  
15	the advantage of this    fingered    extension is that the player can adjust the intonation of all of the stopped notes on the extension   and there are no mechanical noises from metal keys and levers  	the advantage of this    fingered    extension is that the player can adjust the intonation of all of the stopped notes on the extension   and there are no mechanical noises from metal keys and levers  	the advantage of this    fingered    extension is that the player can adjust the intonation of all of the stopped notes on the extension   and there are no mechanical noises from metal keys and levers  
16	the simplest type of mechanical aid is the use of wooden    fingers    that can be closed to press the string down and fret the c     d   eb   or e notes  	the simplest type of mechanical aid is the use of wooden    fingers    that can be closed to press the string down and fret the c     d   eb   or e notes  	the simplest type of mechanical aid is the use of wooden    fingers    that can be closed to press the string down and fret the c     d   eb   or e notes  
17	throughout classical repertoire   there are notes that fall below the range of a standard double bass  	throughout classical repertoire   there are notes that fall below the range of a standard double bass  	throughout classical performances   there are notes that fall below the range of a standard double bass  
18	in the simplest mechanical extensions   there are no mechanical aids attached to the fingerboard extension except a locking nut for the    e    note  	in the simplest version   there are no mechanical aids attached to the fingerboard extension except a locking nut for the    e    note  	in the simplest version   there are no mechanical aids attached to the fingerboard extension except a locking nut for the    e    note  
19	the extension is an extra section of fingerboard mounted up over the head of the bass  	more rarely would one find a four string double bass with a    b extension      extending the lowest string down to a low b  the extension is an extra section of fingerboard mounted up over the head of the bass  	more rarely would one find a four string double bass with a    b extension      extending the lowest string down to a low b  the extension is an extra section of fingerboard mounted up over the head of the bass  
20	the double bass is generally tuned in fourths   in contrast to members of the orchestral string family   which are tuned in fifths  	the double bass is generally tuned in fourths   in contrast to members of the orchestral string family   which are tuned in fifths  	the double bass is generally tuned in fourths   in contrast to members of the orchestral string family   which are tuned in fifths  
21	in the classical era   the double bass typically doubled the cello part an octave below   occasionally requiring descent to c below the e of the four string double bass  	throughout classical repertoire   there are notes that fall below the range of a standard double bass   notes below low e appear regularly in double bass parts in the baroque and classical eras   when the double bass was typically doubling the cello part an octave below  	throughout classical performances   there are notes that fall below the range of a standard double bass and notes below low e appear regularly in double bass parts in the baroque and classical eras   when the double bass was typically doubling the cello part an octave below  
22	johannes brahms   whose father was a double bass player   wrote many difficult and prominent parts for the double bass in his symphonies  	the double bass also has many other names  	a double bass   or    double bass      or    double bass    or    double bass    or    double bass    or    double bass    or    double bass    or    double bass    or    double bass     
23	like many other string instruments   the double bass is played either with a bow  lrb  arco  rrb  or by plucking the strings  lrb  pizzicato  rrb   	in an orchestra   double bass players bow the strings with a wooden bow strung with horsehair   or pluck the strings with their fingers  lrb  plucking the strings is called pizzicato  rrb    in jazz the double bass is played pizzicato most of the time  	in an orchestra   double bass players and bow the strings with a wooden bow or pluck the strings  
24	notes below low e appear regularly in the double bass parts found in later arrangements and interpretations of baroque music   these parts are transpositions of parts written for other bass instruments used before the modern double bass became common and may actually lower the part an octave  	notes below low e appear regularly in double bass parts in the baroque and classical eras   when the double bass was typically doubling the cello part an octave below  	notes below low e appear regularly in double bass parts in the baroque and classical eras   when the double bass was typically doubling the cello part an octave below  
25	it is also spoken as a second language by some brahui  	it is also spoken as a second language by some brahui  	it is also spoken as a second language by some brahui  
26	gauchin verloingt is a commune in the pas de calais department in the nord pas de calais region of france  	gauchin verloingt is a commune   it is found in the region nord pas de calais in the pas de calais department in the north of france  	gauchin verloingt is a commune in the pas de calais department in the nord pas de calais region of france  
27	on the whole   bibliography is not concerned with the literary content of books   but rather the    bookness    of books     how they were designed   edited   printed   circulated   reprinted and collected  	this kind of bibliography is not concerned with the written content of books   but rather the    bookness    of books       how they were designed   edited   printed   circulated   reprinted and collected  	this kind of bibliography is not concerned with the written content of books   but rather the    bookness    of books       how they were designed   edited   printed   circulated   autobiographical and collected  
28	bibliography  lrb  from greek   bibliographia   literally    book writing     rrb    as a practice   is the academic study of books as physical   cultural objects   in this sense   it is also known as bibliology  lrb  from greek     logia  rrb   	another meaning of bibliography is the academic study of books as physical and cultural objects   in this sense   it is also known as bibliology  	another meaning of bibliography is the academic study of books as physical and cultural objects   in this sense   it is also known as bibliology  
29	the word bibliographia  lrb                  rrb  was used by greek writers in the first three centuries ad to mean the copying of books by hand  	bibliography  lrb  greek            book        write  rrb  is the arrangement of printed books and articles according to author or subject   and the publication of lists of titles  	bibliography  lrb  greek             book book         write  rrb  is the arrangement of printed books and articles according to author or subject   and the publication of lists of titles  
30	the emmy award   often referred to simply as the emmy   is a television production award   similar in nature to the peabody awards but more focused on entertainment   and is considered the television equivalent to the academy awards  lrb  for film  rrb    grammy awards  lrb  for music  rrb   	the emmy awards are united states television production awards which are given out each year   they are the television version of the academy awards  	the emmy awards are united states television production awards  
31	the daytime emmy awards   generally are held in june   are presented in recognition of excellence in american daytime television programming   the first daytime themed emmy awards were given out at the primetime ceremony in 1972   but the first separate awards show made just for daytime programming was not held until 1974  	the best known of the awards are the primetime awards  lrb  some of which are named    creative arts emmys     rrb  and the daytime emmy awards  	the best known of the awards are the primetime awards  lrb  some of which are named    creative arts emmys     rrb  and the daytime emmy awards  
32	shirley dinsdale has the distinction of receiving the very first emmy   for most outstanding television personality   during that first awards ceremony  	shirley dinsdale was the very first person to be given an emmy in the first awards ceremony  	shirley dinsdale was the very first person to be given an emmy in the first awards ceremony  
33	kursi aur qanoon is a pakistani punjabi film directed by masood butt  	kursi aur qanoon is a pakistani punjabi film directed by syed noor  	kursi aur qanoon is a pakistani punjabi film directed by syed noor  
34	a normal pole is about 12     16 feet  lrb  4     5 m  rrb  long and weighs about 10 lb  lrb  5 kg  rrb   	a normal pole is about 12     16 feet  lrb  4     5 m  rrb  long and weighs about 10 lb  lrb  5 kg  rrb   	a normal pole is about 12     16 feet  lrb  4     5 m  rrb  long and weighs about 10 lb  lrb  5 kg  rrb   
35	poles for pleasure punts are normally made of spruce   or aluminium  	poles for pleasure punts are normally made of spruce   or aluminium  	some professionals are typically made of spruce   including nitrogen   or aluminium  
36	a punt is a flat bottomed boat with a square cut bow   designed for use in small rivers or other shallow water  	a punt is a flat boat with a broad front   designed for use in small rivers or other shallow water  	a punt is a flat boat with a broad front   designed for use in small rivers or other shallow water  
37	jive later released a reel big fish greatest hits album   greatest hit     and more   because they owned the rights to all previous songs  	jive later released a reel big fish greatest hits album   greatest hit     and more   because they owned the rights to all previous songs  	jive later released a reel big fish greatest hits album   greatest hit     and more   because they owned the rights to all previous songs  
38	the band formed their own label and released a 3 disc live performance cd  dvd set   our live album is better than your live album  	the band formed their own label and released a 3 disc live performance cd  dvd set   our live album is better than your live album  	the band formed their own label and released a 3 disc live performance coupled set   our live album is better than your live album  
39	king edward  s chair  lrb  or st edward  s chair  rrb    the throne on which english and british sovereigns have been seated at the moment of coronation   is housed within the abbey and has been used at every coronation since 1308  	king edward  s chair  lrb  or st edward  s chair  rrb    is the throne on which british sovereigns sit when the crown is put on their heads   it is kept in the abbey   and has been used at every coronation since 1308  	king edward  s chair   commonly called st edward  s chair   is the official on which british sovereigns  
