0	it is the county seat of alfalfa county  	it is the county seat of alfalfa county  	it is the county seat of alfalfa county  
1	cherokee is a city in alfalfa county   oklahoma   united states  	cherokee is a city of oklahoma in the united states  	cherokee is a city of oklahoma in the united states  
2	sight is very important for most lizards   both for locating prey and for communication   and   as such   many lizards have highly acute color vision  	sight is very important for most lizards   both for locating prey and for communication   many lizards have highly acute color vision  	sight is very important for most lizards   both for locating prey and for communication   and   as such   many lizards have highly acute color vision  
3	anoxic events may have caused mass extinctions  	anoxic events may have caused mass extinctions  	anoxic events may have caused mass extinctions  
4	the nativity of the blessed virgin is kept on september 8  	there are many feast days which honor the virgin mary   such as the nativity of the blessed virgin on 8 september which remembers her birth  	the nativity of the blessed virgin is kept on september 8  
5	riluzole is believed to reduce damage to motor neurons by decreasing the release of glutamate via activation of glutamate transporters  	riluzole is believed to make damage smaller to motor neurons by decreasing the release of glutamate   a substance that is found in most als patients  	riluzole is believed to reduce damage to motor neurons by decreasing the release of glutamate  
6	other treatments for als are designed to relieve symptoms and improve the quality of life for patients  	other treatments for als are designed to make symptoms less painful and improve the quality of life for patients  	other treatments for als are designed to relieve symptoms and improve the quality of life for patients  
7	about 75   of people contracting the disease experience    limb onset    als i e  first symptoms in the arms  lrb     upper limb      not to be confused with    upper motor neuron     rrb  or legs  lrb     lower limb      not to be confused with    lower motor neuron     rrb   	about 75   of people have limb onset als  	about 75   of people contracting the disease experience    limb onset    frustration i e  first symptoms in the arms  lrb     upper limb      not to be confused with    upper motor bureaucracy     rrb  or legs  lrb     lower limb     rrb   
8	arm onset patients may experience difficulty with tasks requiring manual dexterity such as buttoning a shirt   writing   or turning a key in a lock  	other limb onset patients first see the effects of the disease on a hand or arm as they have a difficult time with simple tasks requiring hand dexterity   or ability to move small things   such as buttoning a shirt   writing   or turning a key in a lock  	 unk  patients may experience difficulty with tasks requiring manual  unk  such as  unk  a shirt   writing   or turning a key in a lock  
9	duvalier held haiti in his grip until his death in early 1971   his 19 year old son jean claude duvalier   nicknamed    baby doc      succeeded as president  	his wife was simone duvalier   and his son   jean claude duvalier succeeded him as president  	he was born in early 1971  
10	fran ois duvalier  lrb  april 14   1907   april 21   1971  rrb  was the president of haiti from 1957 until his death in 1971  	fran ois duvalier  lrb  14 april 1907   21 april 1971  rrb    known as    papa doc      was the president  lrb  dictator  rrb  and head of state of haiti from 1957 until his death  	fran ois duvalier  lrb  april 14   1907   april 21   1971  rrb  was the president of haiti from 1957 until his death in 1971  
11	in his a new history of the double bass   paul brun asserts   with many references   that the double bass has origins as the true bass of the violin family  	double bass players in jazz bands or rock bands often connect their double bass to an electronic amplifier and a loudspeaker   to make a louder   stronger sound   this makes it easier for the double bass player   the other musicians   and the audience to hear the double bass  s musical notes  	paul  unk  asserts   with many references   that the double bass has origins as the true bass of the violin family  
12	henry iii was unable to be crowned in london when he first came to the throne because the french prince louis had taken control of the city   and so the king was crowned in gloucester cathedral  	henry iii was unable to be crowned in london when he first came to the throne because the french prince louis  lrb  later louis viii  rrb  had taken control of the city  	henry iii was unable to be crowned in london when he first came to the throne because the french prince louis had taken control of the city   and so the king was crowned in gloucester cathedral  
13	this system is particularly useful for basslines that have a repeating pedal point such as a low d   because once the note is locked in place with the mechanical    finger      the lowest string then sounds a different note when it is played    open     lrb  e g    a low d  rrb   	this system is particularly useful for basslines that have a repeating pedal point such as a low d   because once the note is locked in place with the mechanical    finger      the lowest string then sounds a different note when it is played    open     lrb  e g    a low d  rrb   	this system is particularly useful for  unk  that have a repeating pedal point such as a low d   because once the note is locked in place with the mechanical    finger      the lowest string then sounds a different note when it is played    open     lrb  e g    a low d  rrb   
14	in the united states   canada and united kingdom   most professional orchestral players use four string double basses with a    c extension      which extends the lowest string down as far as low c   an octave below the lowest note on the cello  lrb  more rarely   this string may be tuned to a low b  rrb   	in the united states   canada and united kingdom   most professional orchestral players use four string double basses with a    c extension      which extends the lowest string down as far as low c   an octave below the lowest note on the cello  	in the united states   canada and united kingdom   most british orchestral players use bathing double floating tables with a    c extension      which extends the lowest string down as far as low c   an octave below the lowest note on the cello  lrb  more rarely   this string may be tuned to a low b  rrb   
15	the advantage of this    fingered    extension is that the player can adjust the intonation of all of the stopped notes on the extension   and there are no mechanical noises from metal keys and levers  	the advantage of this    fingered    extension is that the player can adjust the intonation of all of the stopped notes on the extension   and there are no mechanical noises from metal keys and levers  	the advantage of this    fingered    extension is that the player can adjust the intonation of all of the stopped notes on the extension   and there are no mechanical noises from metal keys and levers  
