1	cherokee is a city in alfalfa county   oklahoma   united states  	cherokee is a city of oklahoma in the united states  	cherokee is a city in alfalfa county   oklahoma   united states  
3	the underside of the deck can be printed with a design by the manufacturer   blank   or decorated by any other means  	the bottom of the deck can be printed with a design by the maker   or it can be blank  	the underside of the deck can be printed with a design by the manufacturer   blank   or decorated by any other means  
4	this was created by two surfers   ben whatson and jonny drapper  	the longboard was made by two surfers   ben whatson and jonny drapper  	this was created by two surfers   ben whatson and jonny no results  
5	some of them have special materials that help to keep the deck from breaking   such as fiberglass   bamboo   resin   kevlar   carbon fiber   aluminum   and plastic  	other materials used in making decks fiberglass   bamboo   resin   kevlar   carbon fiber   aluminum   and plastic  	some of them have special materials that help to keep the deck from breaking   such as fiberglass   bamboo   resin   kevlar   carbon fiber   aluminum   and plastic  
6	   old school    boards  lrb  those made in the 1970s     80s or modern boards that mimic their shape  rrb  are generally wider and often have only one kicktail  	   old school    boards  lrb  those made in the 1970s     80s  rrb  are mostly wider and often have only one kicktail  	   old school    boards  lrb  those made in the 1970s     80s or modern boards that mimic their shape  rrb  are generally wider and often have only one kicktail  
7	one of the first deck companies was called    drapped    taken from jonny  s second name  	one of the first deck companies was called    drapped    taken from jonny  s second name  	one of the first deck companies was called    no results    taken from jonny  s second name  
8	grip tape   when applied to the top surface of a skateboard   gives a skater  s feet grip on the deck  	grip tape   when put on to the top of a skateboard   gives a skater  s feet grip on the deck  	grasp tape   when applied to the top surface of a skateboard   gives a skater  s feet grasp on the deck  
11	the usual parts to design a complete skateboard are the deck   trucks   wheels   bearings   hardware   and griptape  	the normal parts to made a complete skateboard are the deck   trucks   wheels   bearings   hardware   and griptape  	the usual parts to design a complete skateboard are the deck   trucks   wheels   bearings   hardware   and griptape  
14	the longboard   a common variant of the skateboard   has a longer deck  	the longboard   a common different kind of skateboard   has a longer deck  	the no results   a common variant of the skateboard   has a longer deck  
15	wider decks can be used for greater stability when transition or ramp skating  	wider decks can be used for greater stability when transition or ramp skating  	wider decks can be used for greater stability when transition or disasters skating  
17	les oubeaux is a commune in the calvados department in the basse normandie region in northwestern france  	les oubeaux is a commune   it is found in the region basse normandie in the calvados department in the northwest of france  	les oubeaux is a commune in the calvados department in the basse normandie region in northwestern france  
