0	it is the county seat of alfalfa county  	it is the county seat of alfalfa county  	it is the county seat of pre raphaelite county  
1	cherokee is a city in alfalfa county   oklahoma   united states  	cherokee is a city of oklahoma in the united states  	cherokee is a city in alfalfa county   oklahoma   united states  
2	sight is very important for most lizards   both for locating prey and for communication   and   as such   many lizards have highly acute color vision  	sight is very important for most lizards   both for locating prey and for communication   many lizards have highly acute color vision  	it is very important for most lizards  
3	anoxic events may have caused mass extinctions  	anoxic events may have caused mass extinctions  	there are many types of anoxic events  
4	the nativity of the blessed virgin is kept on september 8  	there are many feast days which honor the virgin mary   such as the nativity of the blessed virgin on 8 september which remembers her birth  	the nativity of the blessed virgin is kept on september 8  
5	riluzole is believed to reduce damage to motor neurons by decreasing the release of glutamate via activation of glutamate transporters  	riluzole is believed to make damage smaller to motor neurons by decreasing the release of glutamate   a substance that is found in most als patients  	  is believed to reduce damage to motor neurons by decreasing the release of glutamate via activation of glutamate transporters  
6	other treatments for als are designed to relieve symptoms and improve the quality of life for patients  	other treatments for als are designed to make symptoms less painful and improve the quality of life for patients  	some treatments for als are designed to relieve symptoms and improve the quality of life for patients  
7	about 75   of people contracting the disease experience    limb onset    als i e  first symptoms in the arms  lrb     upper limb      not to be confused with    upper motor neuron     rrb  or legs  lrb     lower limb      not to be confused with    lower motor neuron     rrb   	about 75   of people have limb onset als  	about 75   of people contracting the disease experience    limb onset    als i e  first symptoms in the arms  lrb     upper limb     
8	arm onset patients may experience difficulty with tasks requiring manual dexterity such as buttoning a shirt   writing   or turning a key in a lock  	other limb onset patients first see the effects of the disease on a hand or arm as they have a difficult time with simple tasks requiring hand dexterity   or ability to move small things   such as buttoning a shirt   writing   or turning a key in a lock  	  patients may experience difficulty with tasks requiring manual dexterity such as buttoning a shirt   writing   or turning a key in a lock  
9	duvalier held haiti in his grip until his death in early 1971   his 19 year old son jean claude duvalier   nicknamed    baby doc      succeeded as president  	his wife was simone duvalier   and his son   jean claude duvalier succeeded him as president  	  duvalier   nicknamed    baby doc      succeeded as president  
10	fran ois duvalier  lrb  april 14   1907   april 21   1971  rrb  was the president of haiti from 1957 until his death in 1971  	fran ois duvalier  lrb  14 april 1907   21 april 1971  rrb    known as    papa doc      was the president  lrb  dictator  rrb  and head of state of haiti from 1957 until his death  	fran ois duvalier  lrb  14 14   1907   april 21   1971  rrb  was the president of haiti from 1957 until his death in 1971  
11	in his a new history of the double bass   paul brun asserts   with many references   that the double bass has origins as the true bass of the violin family  	double bass players in jazz bands or rock bands often connect their double bass to an electronic amplifier and a loudspeaker   to make a louder   stronger sound   this makes it easier for the double bass player   the other musicians   and the audience to hear the double bass  s musical notes  	the double bass has a double bass  
12	henry iii was unable to be crowned in london when he first came to the throne because the french prince louis had taken control of the city   and so the king was crowned in gloucester cathedral  	henry iii was unable to be crowned in london when he first came to the throne because the french prince louis  lrb  later louis viii  rrb  had taken control of the city  	henry iii was unable to be crowned in london when he first came to the throne  
13	this system is particularly useful for basslines that have a repeating pedal point such as a low d   because once the note is locked in place with the mechanical    finger      the lowest string then sounds a different note when it is played    open     lrb  e g    a low d  rrb   	this system is particularly useful for basslines that have a repeating pedal point such as a low d   because once the note is locked in place with the mechanical    finger      the lowest string then sounds a different note when it is played    open     lrb  e g    a low d  rrb   	this system is particularly useful for basslines  
14	in the united states   canada and united kingdom   most professional orchestral players use four string double basses with a    c extension      which extends the lowest string down as far as low c   an octave below the lowest note on the cello  lrb  more rarely   this string may be tuned to a low b  rrb   	in the united states   canada and united kingdom   most professional orchestral players use four string double basses with a    c extension      which extends the lowest string down as far as low c   an octave below the lowest note on the cello  	it is the lowest note on the cello  
15	the advantage of this    fingered    extension is that the player can adjust the intonation of all of the stopped notes on the extension   and there are no mechanical noises from metal keys and levers  	the advantage of this    fingered    extension is that the player can adjust the intonation of all of the stopped notes on the extension   and there are no mechanical noises from metal keys and levers  	there are no mechanical noises from metal keys and levers  
16	the simplest type of mechanical aid is the use of wooden    fingers    that can be closed to press the string down and fret the c     d   eb   or e notes  	the simplest type of mechanical aid is the use of wooden    fingers    that can be closed to press the string down and fret the c     d   eb   or e notes  	the simplest type of mechanical aid is the use of wooden    fingers    that can be closed to press the string down and fret the c     d   eb   or e notes  
17	throughout classical repertoire   there are notes that fall below the range of a standard double bass  	throughout classical repertoire   there are notes that fall below the range of a standard double bass  	in classical music   there are notes that fall below the range of a standard double bass  
18	in the simplest mechanical extensions   there are no mechanical aids attached to the fingerboard extension except a locking nut for the    e    note  	in the simplest version   there are no mechanical aids attached to the fingerboard extension except a locking nut for the    e    note  	there are no mechanical extensions attached to the fingerboard extension except a locking nut for the    e    note  
19	the extension is an extra section of fingerboard mounted up over the head of the bass  	more rarely would one find a four string double bass with a    b extension      extending the lowest string down to a low b  the extension is an extra section of fingerboard mounted up over the head of the bass  	the extension is an extra section of fingerboard mounted up over the head of the bass  
20	the double bass is generally tuned in fourths   in contrast to members of the orchestral string family   which are tuned in fifths  	the double bass is generally tuned in fourths   in contrast to members of the orchestral string family   which are tuned in fifths  	the double bass is usually tuned in fourths  
21	in the classical era   the double bass typically doubled the cello part an octave below   occasionally requiring descent to c below the e of the four string double bass  	throughout classical repertoire   there are notes that fall below the range of a standard double bass   notes below low e appear regularly in double bass parts in the baroque and classical eras   when the double bass was typically doubling the cello part an octave below  	the double bass is a double bass  
22	johannes brahms   whose father was a double bass player   wrote many difficult and prominent parts for the double bass in his symphonies  	the double bass also has many other names  	whose brahms   whose father was a double bass player   wrote many difficult and important parts for the double bass in his symphonies  
23	like many other string instruments   the double bass is played either with a bow  lrb  arco  rrb  or by plucking the strings  lrb  pizzicato  rrb   	in an orchestra   double bass players bow the strings with a wooden bow strung with horsehair   or pluck the strings with their fingers  lrb  plucking the strings is called pizzicato  rrb    in jazz the double bass is played pizzicato most of the time  	a double bass is a string instrument  
24	notes below low e appear regularly in the double bass parts found in later arrangements and interpretations of baroque music   these parts are transpositions of parts written for other bass instruments used before the modern double bass became common and may actually lower the part an octave  	notes below low e appear regularly in double bass parts in the baroque and classical eras   when the double bass was typically doubling the cello part an octave below  	a double bass is a musical instrument  
25	it is also spoken as a second language by some brahui  	it is also spoken as a second language by some brahui  	it is also spoken as a second language by some brahui  
26	gauchin verloingt is a commune in the pas de calais department in the nord pas de calais region of france  	gauchin verloingt is a commune   it is found in the region nord pas de calais in the pas de calais department in the north of france  	gauchin verloingt is a commune in the pas de calais department in the nord pas de calais region of france  
27	on the whole   bibliography is not concerned with the literary content of books   but rather the    bookness    of books     how they were designed   edited   printed   circulated   reprinted and collected  	this kind of bibliography is not concerned with the written content of books   but rather the    bookness    of books       how they were designed   edited   printed   circulated   reprinted and collected  	on the whole   bibliography is not concerned with the literary content of books  
