1	cherokee is a city in alfalfa county   oklahoma   united states  	cherokee is a city of oklahoma in the united states  	cherokee is a urban center in alfalfa county   oklahoma   united states  
4	this was created by two surfers   ben whatson and jonny drapper  	the longboard was made by two surfers   ben whatson and jonny drapper  	this was created by two surfers   ben whatson and jonny bace2 wt allele  
5	some of them have special materials that help to keep the deck from breaking   such as fiberglass   bamboo   resin   kevlar   carbon fiber   aluminum   and plastic  	other materials used in making decks fiberglass   bamboo   resin   kevlar   carbon fiber   aluminum   and plastic  	some of them have special materials that help to keep the deck from breaking   such as fibreglass   bamboo   resin   kevlar   carbon fibre   aluminum   and plastic  
8	grip tape   when applied to the top surface of a skateboard   gives a skater  s feet grip on the deck  	grip tape   when put on to the top of a skateboard   gives a skater  s feet grip on the deck  	travelling bag tape recording   when applied to the top surface of a skateboard   gives a skater  s feet travelling bag on the deck  
11	the usual parts to design a complete skateboard are the deck   trucks   wheels   bearings   hardware   and griptape  	the normal parts to made a complete skateboard are the deck   trucks   wheels   bearings   hardware   and griptape  	the usual parts to design a complete skateboard are the deck   trucks   wheels   have a bun in the oven   hardware   and griptape  
15	wider decks can be used for greater stability when transition or ramp skating  	wider decks can be used for greater stability when transition or ramp skating  	wider decks can be used for greater stability when transition or allium tricoccum skating  
17	les oubeaux is a commune in the calvados department in the basse normandie region in northwestern france  	les oubeaux is a commune   it is found in the region basse normandie in the calvados department in the northwest of france  	lupus erythematosus oubeaux is a commune in the calvados department in the basse normandie region in northwestern france  
39	the bar has been traditionally painted a socialist red   including a depiction of a hammer and sickle  	the bar has been traditionally painted a socialist red   including a picture of a hammer and sickle  	the browning automatic rifle has been traditionally painted a socialist bolshevik   including a depiction of a hammer and sickle  
43	a vacation bar   or    vac bar      also sometimes operates during the summer vacation   run by  lrb  and mainly for  rrb  the graduate students who remain in college throughout the year  	a vacation bar   or    vac bar      also is sometimes open during the summer vacation   run by  lrb  and mainly for  rrb  the graduate students who stay in college throughout the year  	a vacation bar   or    vac bar      also sometimes operates during the summer vacation   history of recreational running by  lrb  and mainly for  rrb  the graduate students who remain in college throughout the year  
60	a hammer and sickle survives in a frame on the wall   a source of some controversy  	a hammer and sickle survives in a frame on the wall  	a hammer and sickle survives in a systema skeletale on the wall   a rootage of some controversy  
66	the chapel features the world  s largest fan vault   stained glass windows   and the painting    the adoration of the magi    by rubens  	the chapel has the world  s largest fan vault   stained glass windows   and the painting    the adoration of the magi    by rubens  	the chapel features the world  s largest sports fan vault   stained deoxyephedrine windows   and the painting    the adoration of the magi    by rubens  
76	another code   two memories   released in north america as trace memory   is a 2005 adventure video game developed by cing and published by nintendo for the nintendo ds portable video game console  	another code   two memories  lrb  called trace memory in north america  rrb  is an adventure video game made by cing and published by nintendo on the nintendo ds handheld  	another code   two computer storage   released in north america as trace memory   is a 2005 adventure video game developed by cing and published by nintendo for the nintendo ds portable video game console  
98	the particular innovation in this respect is the dewlap   a brightly colored patch of skin on the throat   usually hidden between scales  	the dewlap is a brightly colored patch of skin on the throat   usually hidden between scales  	the particular innovation in this respect is the dewlap   a brightly colored maculation of skin on the throat   usually hidden between scale of measurement  
