1	cherokee is a city in alfalfa county   oklahoma   united states  	cherokee is a city of oklahoma in the united states  	cherokee is a city in alfalfa county   ok   united states  
5	some of them have special materials that help to keep the deck from breaking   such as fiberglass   bamboo   resin   kevlar   carbon fiber   aluminum   and plastic  	other materials used in making decks fiberglass   bamboo   resin   kevlar   carbon fiber   aluminum   and plastic  	some of them have special materials that help to keep the deck from breaking   such as fiberglass   bamboo   resin   kevlar   carbon fiber   al   and plastic  
8	grip tape   when applied to the top surface of a skateboard   gives a skater  s feet grip on the deck  	grip tape   when put on to the top of a skateboard   gives a skater  s feet grip on the deck  	grip tape   when applied to the top surface of a skateboard   gives a skater  s feet grip on the deck  
10	variants of the 1970s often have little or no concavity   whereas 1980s models have deeper concavities and steeper kicktails  	different kinds of the 1970s often have little or no concavity   whereas 1980s models have deeper concavities and steeper kicktails  	variants of the 1970s often have little or no concavity   whereas 1980s models have deeper concavities and steeper kicktails  
11	the usual parts to design a complete skateboard are the deck   trucks   wheels   bearings   hardware   and griptape  	the normal parts to made a complete skateboard are the deck   trucks   wheels   bearings   hardware   and griptape  	the usual parts to design a complete skateboard are the deck   trucks   wheels   have   hardware   and griptape  
12	this is mostly ridden down hills or by the beach to represent the riding of a wave in the ocean on a surfboard  	this is mostly ridden down hills or by the beach  	this is mostly ridden down hills or by the beach to represent the riding of a wave in the ocean on a surfboard  
14	the longboard   a common variant of the skateboard   has a longer deck  	the longboard   a common different kind of skateboard   has a longer deck  	the longboard   a common variant of the skateboard   has a longer deck  
16	edmilson alves  lrb  born february 17   1976  rrb    is a brazilian midfielder who currently plays for roasso kumamoto in the j  league division 2  	edmilson alves  lrb  born 17 february 1976  rrb  is a brazilian football player  	edmilson alves  lrb  born february 17   1976  rrb    is a brazilian midfielder who currently plays for roasso kumamoto in the j  league division 2  
17	les oubeaux is a commune in the calvados department in the basse normandie region in northwestern france  	les oubeaux is a commune   it is found in the region basse normandie in the calvados department in the northwest of france  	le oubeaux is a commune in the calvados department in the basse normandie region in northwestern france  
18	it is part of the mitsubishi keiretsu   formerly the biggest industrial group in japan   and was formed in 1970 from the automotive division of mitsubishi heavy industries  	mitsubishi motors has been around since 1970  	it is part of the mitsubishi keiretsu   formerly the biggest industrial group in japan   and was formed in 1970 from the automotive division of mitsubishi heavy industries  
19	this template   like some other is a workaround for wikimarkup behaviors  	this template   like some other is a workaround for wikimarkup behaviors  	this template   like some other is a workaround for wikimarkup behaviors  
